ra,dec
150.52974,1.725584
150.42996,1.68448
150.38304,1.745181
150.22049,1.72972
149.59217,1.682943
150.76626,1.9035
150.63722,1.873909
150.63272,1.878478
150.26902,1.891891
150.19516,1.84154
150.14448,1.853603
150.09776,1.845282
150.08021,1.84957
150.02584,1.926421
149.97137,1.885972
149.80387,1.795451
149.78021,1.826555
149.60702,1.870531
150.24866,1.972382
150.24462,2.008821
150.22252,2.011698
150.13592,2.120208
150.12284,2.085841
149.97267,2.049503
149.92948,2.110626
149.76893,2.090323
149.60621,2.062882
149.58039,1.967825
150.50473,2.224246
150.46969,2.231594
150.38002,2.128305
150.16391,2.290951
150.12352,2.149853
149.88486,2.238508
149.87249,2.162117
149.73323,2.132358
149.69583,2.26712
150.52514,2.456414
150.44653,2.366748
150.43115,2.359508
150.11228,2.387432
150.0134,2.333199
149.94838,2.44939
149.90562,2.318311
149.88343,2.373929
149.56174,2.421954
150.43942,2.543513
150.38394,2.588314
150.34725,2.570126
149.96865,2.580962
149.96307,2.613115
149.77287,2.555739
150.49796,2.755863
150.04121,2.634827
149.97129,2.791711
149.81573,2.650306
149.69682,2.672763
150.22755,2.845847
149.89907,2.820054
150.49192,2.458952
